keywords,노출수,클릭수,ratio,period
050안심번호,132,2,0,2022-02-01
050안심번호,110,3,0,2022-03-01
050안심번호,151,5,0,2022-04-01
050안심번호,78,4,0,2022-05-01
050안심번호,67,1,0,2022-06-01
050안심번호,35,0,0,2022-07-01
050안심번호,130,2,0,2022-08-01
050안심번호,105,3,0,2022-09-01
050안심번호,87,3,0,2022-10-01
050안심번호,136,2,0,2022-11-01
050안심번호,123,4,0,2022-12-01
050안심번호등록,1,0,0,2021-06-01
050안심번호발신,1,0,0,2021-02-01
050안심번호발신,1,0,0,2021-04-01
050안심번호발신,1,0,0,2021-05-01
050안심전화번호,2,0,0,2021-03-01
050안심전화번호,6,0,0,2021-04-01
050안심전화번호,5,1,0,2021-05-01
050안심전화번호,1,0,0,2021-06-01
050엘지유플러스,1,0,0,2021-05-01
050요금,4,0,0,2021-02-01
050요금,4,0,0,2021-03-01
050요금,11,0,0,2021-04-01
050요금,2,0,0,2021-05-01
050요금,4,0,0,2021-06-01
050요금,7,0,0,2021-07-01
050요금,4,0,0,2021-08-01
050요금,2,0,0,2021-09-01
050요금,6,0,0,2021-10-01
050요금,3,0,0,2021-11-01
050요금,6,0,0,2021-12-01
050요금,10,0,0,2022-01-01
050요금,2,0,0,2022-02-01
050요금,180,3,0,2022-03-01
050요금,6,0,0,2022-04-01
050요금,10,0,0,2022-05-01
050요금,2,0,0,2022-06-01
050요금,4,0,0,2022-07-01
050요금,4,0,0,2022-08-01
050요금,4,0,0,2022-09-01
050요금,2,0,0,2022-10-01
050요금,8,0,0,2022-11-01
050요금,4,0,0,2022-12-01
050웹팩스,1,1,0,2021-04-01
050웹팩스,1,0,0,2021-05-01
050웹팩스,1,0,0,2021-06-01
050유플러스,1,0,0,2021-03-01
050유플러스,2,0,0,2021-04-01
050유플러스,1,0,0,2021-05-01
050유플러스,1,1,0,2021-06-01
050전화,26,0,0,2021-02-01
050전화,37,1,0,2021-03-01
050전화,36,0,0,2021-04-01
050전화,41,0,0,2021-05-01
050전화,31,1,0,2021-06-01
050전화,48,0,0,2021-07-01
050전화,41,0,0,2021-08-01
050전화,41,0,0,2021-09-01
050전화,46,0,0,2021-10-01
050전화,62,0,0,2021-11-01
050전화,74,0,0,2021-12-01
050전화,75,0,0,2022-01-01
050전화,64,0,0,2022-02-01
050전화,137,3,0,2022-03-01
050전화,176,4,0,2022-04-01
050전화,207,6,0,2022-05-01
050전화,94,0,0,2022-06-01
050전화,120,1,0,2022-07-01
050전화,103,2,0,2022-08-01
050전화,278,2,0,2022-09-01
050전화,167,4,0,2022-10-01
050전화,108,3,0,2022-11-01
050전화,132,6,0,2022-12-01
050전화번호,112,1,0,2021-02-01
050전화번호,249,2,0,2021-03-01
050전화번호,241,1,0,2021-04-01
050전화번호,209,2,0,2021-05-01
050전화번호,273,3,0,2021-06-01
050전화번호,172,1,0,2021-07-01
050전화번호,133,0,0,2021-08-01
050전화번호,125,0,0,2021-09-01
050전화번호,97,0,0,2021-10-01
